
A complete log of which instructions have been implemented so far:

KEY: X = execution implemented
     D = decompiler implemented
     B = has known bugs
     I = incomplete preliminary
     ? = bug-free status not confirmed
     - = not implemented
     N = not handled if emulating that particular CPU

  INS          OPCODE        CONTRIBUTED TO BY      8086 8088 186 286 386 486
==============|=============|======================|====|====|===|===|===|===|
ADD           |0x00-0x03    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
ADD           |0x04-0x05    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
PUSH ES       |0x06         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
POP ES        |0x07         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
OR            |0x08-0x0B    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
OR            |0x0C-0x0D    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
PUSH CS       |0x0E         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
POP CS        |0x0F         |jcampbell@mdjk.com    |XD? |XD? |N  |N  |N  |N  |
SMSW /4       |0x0F 0x01 /4 |jcampbell@mdjk.com    |N   |N   |XD?|XD?|XD?|XD?|
LMSW /6       |0x0F 0x01 /6 |jcampbell@mdjk.com    |N   |N   |XD?|XD?|XD?|XD?|
ADC           |0x10-0x13    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
ADC           |0x14-0x15    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
PUSH SS       |0x16         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
POP SS        |0x17         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
SBB           |0x18-0x1B    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
SBB           |0x1C-0x1D    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
PUSH DS       |0x1E         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
POP DS        |0x1F         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
AND           |0x20-0x23    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
AND           |0x24-0x25    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
ES:           |0x26         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
DAA           |0x27         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
SUB           |0x28-0x2B    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
SUB           |0x2C-0x2D    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
CS:           |0x2E         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
DAS           |0x2F         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
XOR           |0x30-0x33    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
XOR           |0x34-0x35    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
SS:           |0x36         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
AAA           |0x37         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
CMP           |0x38-0x3B    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
CMP           |0x3C-0x3D    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
DS:           |0x3E         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
AAS           |0x3F         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
INC [reg]     |0x40-0x47    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
DEC [reg]     |0x48-0x4F    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
PUSH [reg]    |0x50-0x57    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
POP [reg]     |0x58-0x5F    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
PUSHA         |0x60         |jcampbell@mdjk.com    |N   |XD? |XD?|XD?|XD?|XD?|
POPA          |0x61         |jcampbell@mdjk.com    |N   |XD? |XD?|XD?|XD?|XD?|
BOUND reg,rm  |0x62         |jcampbell@mdjk.com    |N   |XD? |XD?|XD?|XD?|XD?|
J<cc> [near]  |0x70-0x7F    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
ADD rm,imm /0 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
OR  rm,imm /1 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
ADC rm,imm /2 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
SBB rm,imm /3 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
AND rm,imm /4 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
SUB rm,imm /5 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
XOR rm,imm /6 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
CMP rm,imm /7 |0x80-0x83    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
TEST reg,r/m  |0x84-0x85    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
XCHG reg,r/m  |0x86-0x87    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
MOV           |0x88-0x8B    |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
MOV [sreg]    |0x8C         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
LEA reg,r/m   |0x8D         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
MOV [sreg]    |0x8E         |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
POP mem rm /6 |0x8F /6      |jcampbell@mdjk.com    |XD? |XD? |XD?|XD?|XD?|XD?|
NOP/XCHG AX,AX|0x90         |jcampbell@mdjk.com    |XD  |XD  |XD |XD |XD |XD |
XCHG reg16,AX |0x91-0x97    |jcampbell@mdjk.com    |XD  |XD  |XD |XD |XD |XD |
