This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans               
U+0000 Basic Latin                              100% (95/95)      
U+0080 Latin-1 Supplement                       100% (96/96)      
U+0100 Latin Extended-A                         100% (128/128)    
U+0180 Latin Extended-B                         100% (208/208)    
U+0250 IPA Extensions                           100% (96/96)      
U+02b0 Spacing Modifier Letters                  78% (63/80)      
U+0300 Combining Diacritical Marks               83% (93/112)     
U+0370 Greek and Coptic                         100% (134/134)    
U+0400 Cyrillic                                 100% (256/256)    
U+0500 Cyrillic Supplement                      100% (36/36)      
U+0530 Armenian                                 100% (86/86)      
U+0590 Hebrew                                    62% (54/87)      
U+0600 Arabic                                    64% (161/250)    
U+0700 Syriac                                        (0/77)       
U+0750 Arabic Supplement                             (0/48)       
U+0780 Thaana                                        (0/50)       
U+07c0 NKo                                       91% (54/59)      
U+0900 Devanagari                                    (0/113)      
U+0980 Bengali                                       (0/91)       
U+0a00 Gurmukhi                                      (0/79)       
U+0a80 Gujarati                                      (0/83)       
U+0b00 Oriya                                         (0/84)       
U+0b80 Tamil                                         (0/72)       
U+0c00 Telugu                                        (0/93)       
U+0c80 Kannada                                       (0/86)       
U+0d00 Malayalam                                     (0/95)       
U+0d80 Sinhala                                       (0/80)       
U+0e00 Thai                                       1% (1/87)       
U+0e80 Lao                                      100% (65/65)      
U+0f00 Tibetan                                       (0/201)      
U+1000 Myanmar                                       (0/156)      
U+10a0 Georgian                                 100% (83/83)      
U+1100 Hangul Jamo                                   (0/240)      
U+1200 Ethiopic                                      (0/356)      
U+1380 Ethiopic Supplement                           (0/26)       
U+13a0 Cherokee                                      (0/85)       
U+1400 Unified Canadian Aboriginal Syllabics     64% (404/630)    
U+1680 Ogham                                    100% (29/29)      
U+16a0 Runic                                         (0/81)       
U+1700 Tagalog                                       (0/20)       
U+1720 Hanunoo                                       (0/23)       
U+1740 Buhid                                         (0/20)       
U+1760 Tagbanwa                                      (0/18)       
U+1780 Khmer                                         (0/114)      
U+1800 Mongolian                                     (0/156)      
U+1900 Limbu                                         (0/66)       
U+1950 Tai Le                                        (0/35)       
U+1980 New Tai Lue                                   (0/80)       
U+19e0 Khmer Symbols                                 (0/32)       
U+1a00 Buginese                                      (0/30)       
U+1b00 Balinese                                      (0/121)      
U+1b80 Sundanese                                     (0/55)       
U+1c00 Lepcha                                        (0/74)       
U+1c50 Ol Chiki                                      (0/48)       
U+1d00 Phonetic Extensions                       82% (106/128)    
U+1d80 Phonetic Extensions Supplement            59% (38/64)      
U+1dc0 Combining Diacritical Marks Supplement    14% (6/41)       
U+1e00 Latin Extended Additional                 98% (252/256)    
U+1f00 Greek Extended                           100% (233/233)    
U+2000 General Punctuation                      100% (107/107)    
U+2070 Superscripts and Subscripts              100% (34/34)      
U+20a0 Currency Symbols                         100% (22/22)      
U+20d0 Combining Diacritical Marks for Symbols   21% (7/33)       
U+2100 Letterlike Symbols                        93% (75/80)      
U+2150 Number Forms                              94% (51/54)      
U+2190 Arrows                                   100% (112/112)    
