CODEPAGE 20000          ;CNS - Taiwan

CPINFO 2 0x3f 0x003f    ;DBCS CP;Default Char = Question Mark

MBTABLE	162

0x00	0x0000	;Null
0x01	0x0001	;Start Of Heading
0x02	0x0002	;Start Of Text
0x03	0x0003	;End Of Text
0x04	0x0004	;End Of Transmission
0x05	0x0005	;Enquiry
0x06	0x0006	;Acknowledge
0x07	0x0007	;Bell
0x08	0x0008	;Backspace
0x09	0x0009	;Horizontal Tabulation
0x0a	0x000a	;Line Feed
0x0b	0x000b	;Vertical Tabulation
0x0c	0x000c	;Form Feed
0x0d	0x000d	;Carriage Return
0x0e	0x000e	;Shift Out
0x0f	0x000f	;Shift In
0x10	0x0010	;Data Link Escape
0x11	0x0011	;Device Control One
0x12	0x0012	;Device Control Two
0x13	0x0013	;Device Control Three
0x14	0x0014	;Device Control Four
0x15	0x0015	;Negative Acknowledge
0x16	0x0016	;Synchronous Idle
0x17	0x0017	;End Of Transmission Block
0x18	0x0018	;Cancel
0x19	0x0019	;End Of Medium
0x1a	0x001a	;Substitute
0x1b	0x001b	;Escape
0x1c	0x001c	;File Separator
0x1d	0x001d	;Group Separator
0x1e	0x001e	;Record Separator
0x1f	0x001f	;Unit Separator
0x20	0x0020	;Space
0x21	0x0021	;Exclamation Mark
0x22	0x0022	;Quotation Mark
0x23	0x0023	;Number Sign
0x24	0x0024	;Dollar Sign
0x25	0x0025	;Percent Sign
0x26	0x0026	;Ampersand
0x27	0x0027	;Apostrophe
0x28	0x0028	;Left Parenthesis
0x29	0x0029	;Right Parenthesis
0x2a	0x002a	;Asterisk
0x2b	0x002b	;Plus Sign
0x2c	0x002c	;Comma
0x2d	0x002d	;Hyphen-minus
0x2e	0x002e	;Full Stop
0x2f	0x002f	;Solidus
0x30	0x0030	;Digit Zero
0x31	0x0031	;Digit One
0x32	0x0032	;Digit Two
0x33	0x0033	;Digit Three
0x34	0x0034	;Digit Four
0x35	0x0035	;Digit Five
0x36	0x0036	;Digit Six
0x37	0x0037	;Digit Seven
0x38	0x0038	;Digit Eight
0x39	0x0039	;Digit Nine
0x3a	0x003a	;Colon
0x3b	0x003b	;Semicolon
0x3c	0x003c	;Less-than Sign
0x3d	0x003d	;Equals Sign
0x3e	0x003e	;Greater-than Sign
0x3f	0x003f	;Question Mark
0x40	0x0040	;Commercial At
0x41	0x0041	;Latin Capital Letter A
0x42	0x0042	;Latin Capital Letter B
0x43	0x0043	;Latin Capital Letter C
0x44	0x0044	;Latin Capital Letter D
0x45	0x0045	;Latin Capital Letter E
0x46	0x0046	;Latin Capital Letter F
0x47	0x0047	;Latin Capital Letter G
0x48	0x0048	;Latin Capital Letter H
0x49	0x0049	;Latin Capital Letter I
0x4a	0x004a	;Latin Capital Letter J
0x4b	0x004b	;Latin Capital Letter K
0x4c	0x004c	;Latin Capital Letter L
0x4d	0x004d	;Latin Capital Letter M
0x4e	0x004e	;Latin Capital Letter N
0x4f	0x004f	;Latin Capital Letter O
0x50	0x0050	;Latin Capital Letter P
0x51	0x0051	;Latin Capital Letter Q
0x52	0x0052	;Latin Capital Letter R
0x53	0x0053	;Latin Capital Letter S
0x54	0x0054	;Latin Capital Letter T
0x55	0x0055	;Latin Capital Letter U
0x56	0x0056	;Latin Capital Letter V
0x57	0x0057	;Latin Capital Letter W
0x58	0x0058	;Latin Capital Letter X
0x59	0x0059	;Latin Capital Letter Y
0x5a	0x005a	;Latin Capital Letter Z
0x5b	0x005b	;Left Square Bracket
0x5c	0x005c	;Reverse Solidus
0x5d	0x005d	;Right Square Bracket
0x5e	0x005e	;Circumflex Accent
0x5f	0x005f	;Low Line
0x60	0x0060	;Grave Accent
0x61	0x0061	;Latin Small Letter A
0x62	0x0062	;Latin Small Letter B
0x63	0x0063	;Latin Small Letter C
0x64	0x0064	;Latin Small Letter D
0x65	0x0065	;Latin Small Letter E
0x66	0x0066	;Latin Small Letter F
0x67	0x0067	;Latin Small Letter G
0x68	0x0068	;Latin Small Letter H
0x69	0x0069	;Latin Small Letter I
0x6a	0x006a	;Latin Small Letter J
0x6b	0x006b	;Latin Small Letter K
0x6c	0x006c	;Latin Small Letter L
0x6d	0x006d	;Latin Small Letter M
0x6e	0x006e	;Latin Small Letter N
0x6f	0x006f	;Latin Small Letter O
0x70	0x0070	;Latin Small Letter P
0x71	0x0071	;Latin Small Letter Q
0x72	0x0072	;Latin Small Letter R
0x73	0x0073	;Latin Small Letter S
0x74	0x0074	;Latin Small Letter T
0x75	0x0075	;Latin Small Letter U
0x76	0x0076	;Latin Small Letter V
0x77	0x0077	;Latin Small Letter W
0x78	0x0078	;Latin Small Letter X
0x79	0x0079	;Latin Small Letter Y
0x7a	0x007a	;Latin Small Letter Z
0x7b	0x007b	;Left Curly Bracket
0x7c	0x007c	;Vertical Line
0x7d	0x007d	;Right Curly Bracket
0x7e	0x007e	;Tilde
0x7f	0x007f	;Delete
0x80	0x0080	;Control
0x81	0x0081	;Control
0x82	0x0082	;Control
0x83	0x0083	;Control
0x84	0x0084	;Control
0x85	0x0085	;Control
0x86	0x0086	;Control
0x87	0x0087	;Control
0x88	0x0088	;Control
0x89	0x0089	;Control
0x8a	0x008a	;Control
0x8b	0x008b	;Control
0x8c	0x008c	;Control
0x8d	0x008d	;Control
0x8e	0x008e	;Control
0x8f	0x008f	;Control
0x90	0x0090	;Control
0x91	0x0091	;Control
0x92	0x0092	;Control
0x93	0x0093	;Control
0x94	0x0094	;Control
0x95	0x0095	;Control
0x96	0x0096	;Control
0x97	0x0097	;Control
0x98	0x0098	;Control
0x99	0x0099	;Control
0x9a	0x009a	;Control
0x9b	0x009b	;Control
0x9c	0x009c	;Control
0x9d	0x009d	;Control
0x9e	0x009e	;Control
0x9f	0x009f	;Control
0xa0	0xf8f0
0xff	0xf8f1


DBCSRANGE  1            ;1 DBCS Lead Byte Range: 0xa1 - 0xfe

0xa1  0xfe              ;Lead Byte Range


DBCSTABLE 188           ;LeadByte = 0xa1

0x21	0x4e42	;É@
0x22	0x4e5c	;ÉA
0x23	0x51f5	;ÉB
0x24	0x531a	;ÉC
0x25	0x5382	;ÉD
0x26	0x4e07	;ÉE
0x27	0x4e0c	;ÉF
0x28	0x4e47	;ÉG
0x29	0x4e8d	;ÉH
0x2a	0x56d7	;ÉI
0x2b	0x5c6e	;ÉK
0x2c	0x5f73	;ÉL
0x2d	0x4e0f	;ÉM
0x2e	0x5187	;ÉN
0x2f	0x4e0e	;ÉO
0x30	0x4e2e	;ÉP
0x31	0x4e93	;ÉQ
0x32	0x4ec2	;ÉR
0x33	0x4ec9	;ÉS
0x34	0x4ec8	;ÉT
0x35	0x5198	;ÉU
0x36	0x52fc	;ÉV
0x37	0x536c	;ÉW
0x38	0x53b9	;ÉX
0x39	0x5720	;ÉY
0x3a	0x5903	;ÉZ
0x3b	0x592c	;É[
0x3c	0x5c10	;É\
0x3d	0x5dff	;É]
0x3e	0x65e1	;É^
0x3f	0x6bb3	;É_
0x40	0x6bcc	;É`
0x41	0x6c14	;Éa
0x42	0x723f	;Éb
0x43	0x4e31	;Éc
0x44	0x4e3c	;Éd
0x45	0x4ee8	;Ée
0x46	0x4edc	;Éf
0x47	0x4ee9	;Ég
0x48	0x4ee1	;Éh
0x49	0x4edd	;Éi
0x4a	0x4eda	;Éj
0x4b	0x520c	;Ék
0x4c	0x5209	;É¾
0x4d	0x531c	;Él
0x4e	0x534c	;Ém
0x4f	0x5722	;Én
0x50	0x5723	;Éo
0x51	0x5917	;Ép
0x52	0x592f	;Éq
0x53	0x5b81	;Ér
0x54	0x5b84	;És
0x55	0x5c12	;Ét
0x56	0x5c3b	;Éu
0x57	0x5c74	;Év
0x58	0x5c73	;Éw
0x59	0x5e04	;Éx
0x5a	0x5e80	;Éy
0x5b	0x5e82	;Éz
0x5c	0x5fc9	;É{
0x5d	0x6209	;É|
0x5e	0x6250	;É}
0x5f	0x6c15	;É~
0x60	0x6c36	;É¡
0x61	0x6c43	;É¢
0x62	0x6c3f	;É£
0x63	0x6c3b	;É¤
0x64	0x72ae	;É¥
0x65	0x72b0	;É¦
0x66	0x738a	;É§
0x67	0x79b8	;É¨
0x68	0x808a	;É©
0x69	0x961e	;Éª
0x6a	0x4f0e	;É«
0x6b	0x4f18	;É¬
0x6c	0x4f2c	;É­
0x6d	0x4ef5	;É®
0x6e	0x4f14	;É¯
0x6f	0x4ef1	;É°
0x70	0x4f00	;É±
0x71	0x4ef7	;É²
0x72	0x4f08	;É³
0x73	0x4f1d	;É´
0x74	0x4f02	;Éµ
0x75	0x4f05	;É¶
0x76	0x4f22	;É·
0x77	0x4f13	;É¸
0x78	0x4f04	;É¹
