CODEPAGE 20001          ;TCA - Taiwan

CPINFO 2 0x3f 0x003f    ;DBCS CP;Default Char = Question Mark

MBTABLE	150

0x00	0x0000	;Null
0x01	0x0001	;Start Of Heading
0x02	0x0002	;Start Of Text
0x03	0x0003	;End Of Text
0x04	0x0004	;End Of Transmission
0x05	0x0005	;Enquiry
0x06	0x0006	;Acknowledge
0x07	0x0007	;Bell
0x08	0x0008	;Backspace
0x09	0x0009	;Horizontal Tabulation
0x0a	0x000a	;Line Feed
0x0b	0x000b	;Vertical Tabulation
0x0c	0x000c	;Form Feed
0x0d	0x000d	;Carriage Return
0x0e	0x000e	;Shift Out
0x0f	0x000f	;Shift In
0x10	0x0010	;Data Link Escape
0x11	0x0011	;Device Control One
0x12	0x0012	;Device Control Two
0x13	0x0013	;Device Control Three
0x14	0x0014	;Device Control Four
0x15	0x0015	;Negative Acknowledge
0x16	0x0016	;Synchronous Idle
0x17	0x0017	;End Of Transmission Block
0x18	0x0018	;Cancel
0x19	0x0019	;End Of Medium
0x1a	0x001a	;Substitute
0x1b	0x001b	;Escape
0x1c	0x001c	;File Separator
0x1d	0x001d	;Group Separator
0x1e	0x001e	;Record Separator
0x1f	0x001f	;Unit Separator
0x20	0x0020	;Space
0x21	0x0021	;Exclamation Mark
0x22	0x0022	;Quotation Mark
0x23	0x0023	;Number Sign
0x24	0x0024	;Dollar Sign
0x25	0x0025	;Percent Sign
0x26	0x0026	;Ampersand
0x27	0x0027	;Apostrophe
0x28	0x0028	;Left Parenthesis
0x29	0x0029	;Right Parenthesis
0x2a	0x002a	;Asterisk
0x2b	0x002b	;Plus Sign
0x2c	0x002c	;Comma
0x2d	0x002d	;Hyphen-minus
0x2e	0x002e	;Full Stop
0x2f	0x002f	;Solidus
0x30	0x0030	;Digit Zero
0x31	0x0031	;Digit One
0x32	0x0032	;Digit Two
0x33	0x0033	;Digit Three
0x34	0x0034	;Digit Four
0x35	0x0035	;Digit Five
0x36	0x0036	;Digit Six
0x37	0x0037	;Digit Seven
0x38	0x0038	;Digit Eight
0x39	0x0039	;Digit Nine
0x3a	0x003a	;Colon
0x3b	0x003b	;Semicolon
0x3c	0x003c	;Less-than Sign
0x3d	0x003d	;Equals Sign
0x3e	0x003e	;Greater-than Sign
0x3f	0x003f	;Question Mark
0x40	0x0040	;Commercial At
0x41	0x0041	;Latin Capital Letter A
0x42	0x0042	;Latin Capital Letter B
0x43	0x0043	;Latin Capital Letter C
0x44	0x0044	;Latin Capital Letter D
0x45	0x0045	;Latin Capital Letter E
0x46	0x0046	;Latin Capital Letter F
0x47	0x0047	;Latin Capital Letter G
0x48	0x0048	;Latin Capital Letter H
0x49	0x0049	;Latin Capital Letter I
0x4a	0x004a	;Latin Capital Letter J
0x4b	0x004b	;Latin Capital Letter K
0x4c	0x004c	;Latin Capital Letter L
0x4d	0x004d	;Latin Capital Letter M
0x4e	0x004e	;Latin Capital Letter N
0x4f	0x004f	;Latin Capital Letter O
0x50	0x0050	;Latin Capital Letter P
0x51	0x0051	;Latin Capital Letter Q
0x52	0x0052	;Latin Capital Letter R
0x53	0x0053	;Latin Capital Letter S
0x54	0x0054	;Latin Capital Letter T
0x55	0x0055	;Latin Capital Letter U
0x56	0x0056	;Latin Capital Letter V
0x57	0x0057	;Latin Capital Letter W
0x58	0x0058	;Latin Capital Letter X
0x59	0x0059	;Latin Capital Letter Y
0x5a	0x005a	;Latin Capital Letter Z
0x5b	0x005b	;Left Square Bracket
0x5c	0x005c	;Reverse Solidus
0x5d	0x005d	;Right Square Bracket
0x5e	0x005e	;Circumflex Accent
0x5f	0x005f	;Low Line
0x60	0x0060	;Grave Accent
0x61	0x0061	;Latin Small Letter A
0x62	0x0062	;Latin Small Letter B
0x63	0x0063	;Latin Small Letter C
0x64	0x0064	;Latin Small Letter D
0x65	0x0065	;Latin Small Letter E
0x66	0x0066	;Latin Small Letter F
0x67	0x0067	;Latin Small Letter G
0x68	0x0068	;Latin Small Letter H
0x69	0x0069	;Latin Small Letter I
0x6a	0x006a	;Latin Small Letter J
0x6b	0x006b	;Latin Small Letter K
0x6c	0x006c	;Latin Small Letter L
0x6d	0x006d	;Latin Small Letter M
0x6e	0x006e	;Latin Small Letter N
0x6f	0x006f	;Latin Small Letter O
0x70	0x0070	;Latin Small Letter P
0x71	0x0071	;Latin Small Letter Q
0x72	0x0072	;Latin Small Letter R
0x73	0x0073	;Latin Small Letter S
0x74	0x0074	;Latin Small Letter T
0x75	0x0075	;Latin Small Letter U
0x76	0x0076	;Latin Small Letter V
0x77	0x0077	;Latin Small Letter W
0x78	0x0078	;Latin Small Letter X
0x79	0x0079	;Latin Small Letter Y
0x7a	0x007a	;Latin Small Letter Z
0x7b	0x007b	;Left Curly Bracket
0x7c	0x007c	;Vertical Line
0x7d	0x007d	;Right Curly Bracket
0x7e	0x007e	;Tilde
0x7f	0x007f	;Delete
0x80	0x0080	;Control
0x85	0x0085	;Control
0x86	0x0086	;Control
0x87	0x0087	;Control
0x88	0x0088	;Control
0x89	0x0089	;Control
0x8a	0x008a	;Control
0x8b	0x008b	;Control
0x8c	0x008c	;Control
0x8d	0x008d	;Control
0x8e	0x008e	;Control
0x8f	0x008f	;Control
0x90	0x0090	;Control
0xd9	0xf8e8
0xda	0xf8e9
0xdb	0xf8ea
0xdc	0xf8eb
0xdd	0xf8ec
0xde	0xf8ed
0xfd	0xf8ee
0xfe	0xf8ef
0xff	0xf8f0


DBCSRANGE  3            ;3 DBCS Lead Byte Ranges: 0x81-0x84 0x91-0xd8 0xdf-0xfc

0x81  0x84              ;Lead Byte Range


DBCSTABLE 188           ;LeadByte = 0x81

0x30	0x3000	;Ideographic Space
0x31	0xff0c	;Fullwidth Comma
0x32	0x3001	;Ideographic Comma
0x33	0x3002	;Ideographic Full Stop
0x34	0x2024	;One Dot Leader
0x35	0x2022	;Bullet
0x36	0xff1b	;Fullwidth Semicolon
0x37	0xff1a	;Fullwidth Colon
0x38	0xff1f	;Fullwidth Question Mark
0x39	0xff01	;Fullwidth Exclamation Mark
0x41	0xfe30	;Presentation Form For Vertical Two Dot Leader
0x42	0x2026	;Horizontal Ellipsis
0x43	0x2025	;Two Dot Leader
0x44	0xfe50	;Small Comma
0x45	0xfe51	;Small Ideographic Comma
0x46	0x2027	;Hyphenation Point
0x47	0xfe52	;Small Full Stop
0x48	0xfe54	;Small Semicolon
0x49	0xfe55	;Small Colon
0x4a	0xfe56	;Small Question Mark
0x4b	0xfe57	;Small Exclamation Mark
0x4c	0xfe31	;Presentation Form For Vertical Em Dash
0x4d	0x2013	;En Dash
0x4e	0xfe32	;Presentation Form For Vertical En Dash
0x4f	0x2014	;Em Dash
0x50	0xfe33	;Presentation Form For Vertical Low Line
0x51	0xff3f	;Fullwidth Low Line
0x52	0xfe34	;Presentation Form For Vertical Wavy Low Line
0x53	0xfe4f	;Wavy Low Line
0x54	0xff08	;Fullwidth Left Parenthesis
0x55	0xff09	;Fullwidth Right Parenthesis
0x56	0xfe35	;Presentation Form For Vertical Left Parenthesis
0x57	0xfe36	;Presentation Form For Vertical Right Parenthesis
0x58	0xff5b	;Fullwidth Left Curly Bracket
0x59	0xff5d	;Fullwidth Right Curly Bracket
0x5a	0xfe37	;Presentation Form For Vertical Left Curly Bracket
0x61	0xfe38	;Presentation Form For Vertical Right Curly Bracket
0x62	0x3014	;Left Tortoise Shell Bracket
0x63	0x3015	;Right Tortoise Shell Bracket
0x64	0xfe39	;Presentation Form For Vertical Left Tortoise Shell Bracket
0x65	0xfe3a	;Presentation Form For Vertical Right Tortoise Shell Bracket
0x66	0x3010	;Left Black Lenticular Bracket
0x67	0x3011	;Right Black Lenticular Bracket
0x68	0xfe3b	;Presentation Form For Vertical Left Black Lenticular Bracket
0x69	0xfe3c	;Presentation Form For Vertical Right Black Lenticular Bracket
0x6a	0x300a	;Left Double Angle Bracket
0x6b	0x300b	;Right Double Angle Bracket
0x6c	0xfe3d	;Presentation Form For Vertical Left Double Angle Bracket
0x6d	0xfe3e	;Presentation Form For Vertical Right Double Angle Bracket
0x6e	0x3008	;Left Angle Bracket
0x6f	0x3009	;Right Angle Bracket
0x70	0xfe3f	;Presentation Form For Vertical Left Angle Bracket
0x71	0xfe40	;Presentation Form For Vertical Right Angle Bracket
0x72	0x300c	;Left Corner Bracket
0x73	0x300d	;Right Corner Bracket
0x74	0xfe41	;Presentation Form For Vertical Left Corner Bracket
0x75	0xfe42	;Presentation Form For Vertical Right Corner Bracket
0x76	0x300e	;Left White Corner Bracket
0x77	0x300f	;Right White Corner Bracket
0x78	0xfe43	;Presentation Form For Vertical Left White Corner Bracket
