CODEPAGE 28603          ;ISO/IEC 8859-13:1998 (Lithuanian)

CPINFO 1 0x3f 0x003f    ;Single Byte CP, Default Char = Question Mark

MBTABLE 256

0x00	0x0000	 ;<control>
0x01	0x0001	 ;<control>
0x02	0x0002	 ;<control>
0x03	0x0003	 ;<control>
0x04	0x0004	 ;<control>
0x05	0x0005	 ;<control>
0x06	0x0006	 ;<control>
0x07	0x0007	 ;<control>
0x08	0x0008	 ;<control>
0x09	0x0009	 ;<control>
0x0a	0x000a	 ;<control>
0x0b	0x000b	 ;<control>
0x0c	0x000c	 ;<control>
0x0d	0x000d	 ;<control>
0x0e	0x000e	 ;<control>
0x0f	0x000f	 ;<control>
0x10	0x0010	 ;<control>
0x11	0x0011	 ;<control>
0x12	0x0012	 ;<control>
0x13	0x0013	 ;<control>
0x14	0x0014	 ;<control>
0x15	0x0015	 ;<control>
0x16	0x0016	 ;<control>
0x17	0x0017	 ;<control>
0x18	0x0018	 ;<control>
0x19	0x0019	 ;<control>
0x1a	0x001a	 ;<control>
0x1b	0x001b	 ;<control>
0x1c	0x001c	 ;<control>
0x1d	0x001d	 ;<control>
0x1e	0x001e	 ;<control>
0x1f	0x001f	 ;<control>
0x20	0x0020	 ;SPACE
0x21	0x0021	 ;EXCLAMATION MARK
0x22	0x0022	 ;QUOTATION MARK
0x23	0x0023	 ;NUMBER SIGN
0x24	0x0024	 ;DOLLAR SIGN
0x25	0x0025	 ;PERCENT SIGN
0x26	0x0026	 ;AMPERSAND
0x27	0x0027	 ;APOSTROPHE
0x28	0x0028	 ;LEFT PARENTHESIS
0x29	0x0029	 ;RIGHT PARENTHESIS
0x2a	0x002a	 ;ASTERISK
0x2b	0x002b	 ;PLUS SIGN
0x2c	0x002c	 ;COMMA
0x2d	0x002d	 ;HYPHEN-MINUS
0x2e	0x002e	 ;FULL STOP
0x2f	0x002f	 ;SOLIDUS
0x30	0x0030	 ;DIGIT ZERO
0x31	0x0031	 ;DIGIT ONE
0x32	0x0032	 ;DIGIT TWO
0x33	0x0033	 ;DIGIT THREE
