CODEPAGE 29001          ;Europa 3

CPINFO 1 0x3f 0x003f    ;Single Byte CP, Default Char = Question Mark

MBTABLE	256

0x00	0x0000	;Null
0x01	0x0386	;Greek Capital Letter Alpha With Tonos
0x02	0x0388	;Greek Capital Letter Epsilon With Tonos
0x03	0x0389	;Greek Capital Letter Eta With Tonos
0x04	0x038a	;Greek Capital Letter Iota With Tonos
0x05	0x038c	;Greek Capital Letter Omicron With Tonos
0x06	0x038e	;Greek Capital Letter Upsilon With Tonos
0x07	0x00b0	;Degree Sign
0x08	0x25d8	;Inverse Bullet
0x09	0x25cb	;White Circle
0x0a	0x25d9	;Inverse White Circle
0x0b	0x2642	;Male Sign
0x0c	0x2640	;Female Sign
0x0d	0x266a	;Eighth Note
0x0e	0x266c	;Beamed Sixteenth Notes
0x0f	0x263c	;White Sun With Rays
0x10	0x25b6	;Black Right-Pointing Triangle
0x11	0x25c0	;Black Left-Pointing Triangle
0x12	0x2195	;Up Down Arrow
0x13	0x203c	;Double Exclamation Mark
0x14	0x00b6	;Pilcrow Sign
0x15	0x00a7	;Section Sign
0x16	0x00a3	;Pound Sign
0x17	0x038f	;Greek Capital Letter Omega With Tonos
0x18	0x2191	;Upwards Arrow
0x19	0x2193	;Downwards Arrow
0x1a	0x2192	;Rightwards Arrow
0x1b	0x2190	;Leftwards Arrow
0x1c	0x00cb	;Latin Capital Letter E With Diaeresis
0x1d	0x2194	;Left Right Arrow
0x1e	0x25b2	;Black Up-Pointing Triangle
0x1f	0x25bc	;Black Down-Pointing Triangle
0x20	0x0020	;Space
0x21	0x0021	;Exclamation Mark
0x22	0x0022	;Quotation Mark
0x23	0x0023	;Number Sign
0x24	0x0024	;Dollar Sign
0x25	0x0025	;Percent Sign
0x26	0x0026	;Ampersand
0x27	0x0027	;Apostrophe
0x28	0x0028	;Left Parenthesis
0x29	0x0029	;Right Parenthesis
0x2a	0x002a	;Asterisk
0x2b	0x002b	;Plus Sign
0x2c	0x002c	;Comma
0x2d	0x002d	;Hyphen-Minus
0x2e	0x002e	;Full Stop
