CODEPAGE 21027          ;Ext Alpha Lowercase

CPINFO 1 0x6f 0x003f    ;Single Byte CP, Default Char = Question Mark

MBTABLE	256

0x00	0x0000	;Null
0x01	0x0001	;Start Of Heading
0x02	0x0002	;Start Of Text
0x03	0x0003	;End Of Text
0x04	0x0004	;End Of Transmission
0x05	0x0005	;Enquiry
0x06	0x0006	;Acknowledge
0x07	0x0007	;Bell
0x08	0x0008	;Backspace
0x09	0x0009	;Horizontal Tabulation
0x0a	0x000a	;Line Feed
0x0b	0x000b	;Vertical Tabulation
0x0c	0x000c	;Form Feed
0x0d	0x000d	;Carriage Return
0x0e	0x000e	;Shift Out
0x0f	0x000f	;Shift In
0x10	0x0010	;Data Link Escape
0x11	0x0011	;Device Control One
0x12	0x0012	;Device Control Two
0x13	0x0013	;Device Control Three
0x14	0x0014	;Device Control Four
0x15	0x0015	;Negative Acknowledge
0x16	0x0016	;Synchronous Idle
0x17	0x0017	;End Of Transmission Block
0x18	0x0018	;Cancel
0x19	0x0019	;End Of Medium
0x1a	0x001a	;Substitute
0x1b	0x001b	;Escape
0x1c	0x001c	;File Separator
0x1d	0x001d	;Group Separator
0x1e	0x001e	;Record Separator
0x1f	0x001f	;Unit Separator
0x20	0xf8c4	;Undefined -> EUDC
0x21	0xf8c5	;Undefined -> EUDC
0x22	0xf8c6	;Undefined -> EUDC
0x23	0xf8c7	;Undefined -> EUDC
0x24	0xf8c8	;Undefined -> EUDC
0x25	0xf8c9	;Undefined -> EUDC
0x26	0xf8ca	;Undefined -> EUDC
0x27	0xf8cb	;Undefined -> EUDC
0x28	0xf8cc	;Undefined -> EUDC
0x29	0xf8cd	;Undefined -> EUDC
0x2a	0xf8ce	;Undefined -> EUDC
0x2b	0xf8cf	;Undefined -> EUDC
0x2c	0xf8d0	;Undefined -> EUDC
0x2d	0xf8d1	;Undefined -> EUDC
0x2e	0xf8d2	;Undefined -> EUDC
0x2f	0xf8d3	;Undefined -> EUDC
0x30	0xf8d4	;Undefined -> EUDC
0x31	0xf8d5	;Undefined -> EUDC
0x32	0xf8d6	;Undefined -> EUDC
0x33	0xf8d7	;Undefined -> EUDC
0x34	0xf8d8	;Undefined -> EUDC
0x35	0xf8d9	;Undefined -> EUDC
0x36	0xf8da	;Undefined -> EUDC
0x37	0xf8db	;Undefined -> EUDC
0x38	0xf8dc	;Undefined -> EUDC
0x39	0xf8dd	;Undefined -> EUDC
