CODEPAGE 10003          ; Korean - MAC

CPINFO 2 0x3f 0x003f    ; DBCS CP, Default Char = Question Mark

MBTABLE	166

0x00	0x0000	;Null
0x01	0x0001	;Start Of Heading
0x02	0x0002	;Start Of Text
0x03	0x0003	;End Of Text
0x04	0x0004	;End Of Transmission
0x05	0x0005	;Enquiry
0x06	0x0006	;Acknowledge
0x07	0x0007	;Bell
0x08	0x0008	;Backspace
0x09	0x0009	;Horizontal Tabulation
0x0a	0x000a	;Line Feed
0x0b	0x000b	;Vertical Tabulation
0x0c	0x000c	;Form Feed
0x0d	0x000d	;Carriage Return
0x0e	0x000e	;Shift Out
0x0f	0x000f	;Shift In
0x10	0x0010	;Data Link Escape
0x11	0x0011	;Device Control One
0x12	0x0012	;Device Control Two
0x13	0x0013	;Device Control Three
0x14	0x0014	;Device Control Four
0x15	0x0015	;Negative Acknowledge
0x16	0x0016	;Synchronous Idle
0x17	0x0017	;End Of Transmission Block
0x18	0x0018	;Cancel
0x19	0x0019	;End Of Medium
0x1a	0x001a	;Substitute
0x1b	0x001b	;Escape
0x1c	0x001c	;File Separator
0x1d	0x001d	;Group Separator
0x1e	0x001e	;Record Separator
0x1f	0x001f	;Unit Separator
0x20	0x0020	;Space
0x21	0x0021	;Exclamation Mark
0x22	0x0022	;Quotation Mark
0x23	0x0023	;Number Sign
0x24	0x0024	;Dollar Sign
0x25	0x0025	;Percent Sign
0x26	0x0026	;Ampersand
0x27	0x0027	;Apostrophe-Quote
0x28	0x0028	;Opening Parenthesis
0x29	0x0029	;Closing Parenthesis
0x2a	0x002a	;Asterisk
0x2b	0x002b	;Plus Sign
0x2c	0x002c	;Comma
0x2d	0x002d	;Hyphen-Minus
0x2e	0x002e	;Period
0x2f	0x002f	;Slash
0x30	0x0030	;Digit Zero
0x31	0x0031	;Digit One
0x32	0x0032	;Digit Two
0x33	0x0033	;Digit Three
0x34	0x0034	;Digit Four
0x35	0x0035	;Digit Five
0x36	0x0036	;Digit Six
0x37	0x0037	;Digit Seven
0x38	0x0038	;Digit Eight
0x39	0x0039	;Digit Nine
0x3a	0x003a	;Colon
0x3b	0x003b	;Semicolon
0x3c	0x003c	;Less-Than Sign
0x3d	0x003d	;Equals Sign
0x3e	0x003e	;Greater-Than Sign
0x3f	0x003f	;Question Mark
0x40	0x0040	;Commercial At
0x41	0x0041	;Capital A
0x42	0x0042	;Capital B
0x43	0x0043	;Capital C
0x44	0x0044	;Capital D
0x45	0x0045	;Capital E
0x46	0x0046	;Capital F
0x47	0x0047	;Capital G
0x48	0x0048	;Capital H
0x49	0x0049	;Capital I
0x4a	0x004a	;Capital J
0x4b	0x004b	;Capital K
0x4c	0x004c	;Capital L
0x4d	0x004d	;Capital M
0x4e	0x004e	;Capital N
0x4f	0x004f	;Capital O
0x50	0x0050	;Capital P
0x51	0x0051	;Capital Q
0x52	0x0052	;Capital R
0x53	0x0053	;Capital S
0x54	0x0054	;Capital T
0x55	0x0055	;Capital U
0x56	0x0056	;Capital V
0x57	0x0057	;Capital W
0x58	0x0058	;Capital X
0x59	0x0059	;Capital Y
0x5a	0x005a	;Capital Z
0x5b	0x005b	;Opening Square Bracket
0x5c	0x005c	;Won Sign
0x5d	0x005d	;Closing Square Bracket
0x5e	0x005e	;Spacing Circumflex
0x5f	0x005f	;Spacing Underscore
0x60	0x0060	;Spacing Grave
0x61	0x0061	;Small A
0x62	0x0062	;Small B
0x63	0x0063	;Small C
0x64	0x0064	;Small D
0x65	0x0065	;Small E
0x66	0x0066	;Small F
0x67	0x0067	;Small G
0x68	0x0068	;Small H
0x69	0x0069	;Small I
0x6a	0x006a	;Small J
0x6b	0x006b	;Small K
0x6c	0x006c	;Small L
0x6d	0x006d	;Small M
0x6e	0x006e	;Small N
0x6f	0x006f	;Small O
0x70	0x0070	;Small P
0x71	0x0071	;Small Q
0x72	0x0072	;Small R
0x73	0x0073	;Small S
0x74	0x0074	;Small T
0x75	0x0075	;Small U
0x76	0x0076	;Small V
0x77	0x0077	;Small W
0x78	0x0078	;Small X
0x79	0x0079	;Small Y
0x7a	0x007a	;Small Z
0x7b	0x007b	;Opening Curly Bracket
0x7c	0x007c	;Vertical Bar
0x7d	0x007d	;Closing Curly Bracket
0x7e	0x007e	;Tilde
0x7f	0x007f	;Delete
0x80	0x0080	;Undefined -> Control
0x81	0x0081	;Undefined -> Control
0x82	0x0082	;Undefined -> Control
0x83	0x0083	;Undefined -> Control
0x84	0x0084	;Undefined -> Control
0x85	0x0085	;Undefined -> Control
0x86	0x0086	;Undefined -> Control
0x87	0x0087	;Undefined -> Control
0x88	0x0088	;Undefined -> Control
0x89	0x0089	;Undefined -> Control
0x8a	0x008a	;Undefined -> Control
0x8b	0x008b	;Undefined -> Control
0x8c	0x008c	;Undefined -> Control
0x8d	0x008d	;Undefined -> Control
0x8e	0x008e	;Undefined -> Control
0x8f	0x008f	;Undefined -> Control
0x90	0x0090	;Undefined -> Control
0x91	0x0091	;Undefined -> Control
0x92	0x0092	;Undefined -> Control
0x93	0x0093	;Undefined -> Control
0x94	0x0094	;Undefined -> Control
0x95	0x0095	;Undefined -> Control
0x96	0x0096	;Undefined -> Control
0x97	0x0097	;Undefined -> Control
0x98	0x0098	;Undefined -> Control
0x99	0x0099	;Undefined -> Control
0x9a	0x009a	;Undefined -> Control
0x9b	0x009b	;Undefined -> Control
0x9c	0x009c	;Undefined -> Control
0x9d	0x009d	;Undefined -> Control
0x9e	0x009e	;Undefined -> Control
0x9f	0x009f	;Undefined -> Control
0xa0	0xf8e6	;Undefined -> EUDC
0xad	0xf8e7	;Undefined -> EUDC
0xae	0xf8e8	;Undefined -> EUDC
0xaf	0xf8e9	;Undefined -> EUDC
0xfe	0xf8ea	;Undefined -> EUDC
0xff	0xf8eb	;Undefined -> EUDC


DBCSRANGE  3            ;Lead Byte Ranges: 0xa1-0xac 0xb0-0xc8 0xca-0xfd

0xa1  0xac              ;Lead Byte Range


DBCSTABLE 94            ;LeadByte = 0xa1

0xa1	0x3000	;¡¡ Ideographic Space
0xa2	0x3001	;¡¢ Ideographic Comma
0xa3	0x3002	;¡£ Ideographic Period
0xa4	0x00b7	;¡¤ Middle Dot
0xa5	0x2025	;¡¥ Two Dot Leader
0xa6	0x2026	;¡¦ Horizontal Ellipsis
0xa7	0x00a8	;¡§ Spacing Diaeresis
0xa8	0x3003	;¡¨ Ditto Mark
0xa9	0x00ad	;¡© Soft Hyphen (>u2010)
0xaa	0x2015	;¡ª Quotation Dash
0xab	0x2225	;¡« Parallel To
0xac	0xff3c	;¡¬ Fullwidth Backslash
0xad	0x223c	;¡­ Tilde Operator
0xae	0x2018	;¡® Single Turned Comma Quotation Mark
0xaf	0x2019	;¡¯ Single Comma Quotation Mark
0xb0	0x201c	;¡° Double Turned Comma Quotation Mark
0xb1	0x201d	;¡± Double Comma Quotation Mark
0xb2	0x3014	;¡² Opening Tortoise Shell Bracket
0xb3	0x3015	;¡³ Closing Tortoise Shell Bracket
0xb4	0x3008	;¡´ Opening Angle Bracket
0xb5	0x3009	;¡µ Closing Angle Bracket
0xb6	0x300a	;¡¶ Opening Double Angle Bracket
0xb7	0x300b	;¡· Closing Double Angle Bracket
0xb8	0x300c	;¡¸ Opening Corner Bracket
0xb9	0x300d	;¡¹ Closing Corner Bracket
0xba	0x300e	;¡º Opening White Corner Bracket
0xbb	0x300f	;¡» Closing White Corner Bracket
0xbc	0x3010	;¡¼ Opening Black Lenticular Bracket
0xbd	0x3011	;¡½ Closing Black Lenticular Bracket
0xbe	0x00b1	;¡¾ Plus-Or-Minus Sign
0xbf	0x00d7	;¡¿ Multiplication Sign
0xc0	0x00f7	;¡À Division Sign
0xc1	0x2260	;¡Á Not Equal To
0xc2	0x2264	;¡Â Less Than Or Equal To
0xc3	0x2265	;¡Ã Greater Than Or Equal To
0xc4	0x221e	;¡Ä Infinity
0xc5	0x2234	;¡Å Therefore
0xc6	0x00b0	;¡Æ Degree Sign
0xc7	0x2032	;¡Ç Prime
0xc8	0x2033	;¡È Double Prime
0xc9	0x2103	;¡É Degrees Centigrade
0xca	0x212b	;¡Ê Angstrom Unit
0xcb	0xffe0	;¡Ë Fullwidth Cent Sign
0xcc	0xffe1	;¡Ì Fullwidth Pound Sign
0xcd	0xffe5	;¡Í Fullwidth Yen Sign
0xce	0x2642	;¡Î Male Sign
0xcf	0x2640	;¡Ï Female Sign
0xd0	0x2220	;¡Ð Angle
0xd1	0x22a5	;¡Ñ Up Tack
0xd2	0x2312	;¡Ò Arc
0xd3	0x2202	;¡Ó Partial Differential
0xd4	0x2207	;¡Ô Nabla
0xd5	0x2261	;¡Õ Identical To
0xd6	0x2252	;¡Ö Approximately Equal To Or The Image Of
0xd7	0x00a7	;¡× Section Sign
0xd8	0x203b	;¡Ø Reference Mark
0xd9	0x2606	;¡Ù White Star
0xda	0x2605	;¡Ú Black Star
0xdb	0x25cb	;¡Û White Circle
0xdc	0x25cf	;¡Ü Black Circle
0xdd	0x25ce	;¡Ý Bullseye
0xde	0x25c7	;¡Þ White Diamond
0xdf	0x25c6	;¡ß Black Diamond
0xe0	0x25a1	;¡à White Square
0xe1	0x25a0	;¡á Black Square
0xe2	0x25b3	;¡â White Up Pointing Triangle
0xe3	0x25b2	;¡ã Black Up Pointing Triangle
0xe4	0x25bd	;¡ä White Down Pointing Triangle
0xe5	0x25bc	;¡å Black Down Pointing Triangle
0xe6	0x2192	;¡æ Right Arrow
0xe7	0x2190	;¡ç Left Arrow
0xe8	0x2191	;¡è Up Arrow
0xe9	0x2193	;¡é Down Arrow
0xea	0x2194	;¡ê Left Right Arrow
0xeb	0x3013	;¡ë Geta Mark
0xec	0x226a	;¡ì Much Less Than
0xed	0x226b	;¡í Much Greater Than
0xee	0x221a	;¡î Square Root
0xef	0x223d	;¡ï Reversed Tilde
0xf0	0x221d	;¡ð Proportional To
0xf1	0x2235	;¡ñ Because
0xf2	0x222b	;¡ò Integral
0xf3	0x222c	;¡ó Double Integral
0xf4	0x2208	;¡ô Element Of
0xf5	0x220b	;¡õ Contains As Member
0xf6	0x2286	;¡ö Subset Of Or Equal To
0xf7	0x2287	;¡÷ Superset Of Or Equal To
0xf8	0x2282	;¡ø Subset Of
0xf9	0x2283	;¡ù Superset Of
0xfa	0x222a	;¡ú Union
0xfb	0x2229	;¡û Intersection
0xfc	0x2227	;¡ü Logical And
0xfd	0x2228	;¡ý Logical Or
0xfe	0xffe2	;¡þ Fullwidth Not Sign

DBCSTABLE 69            ;LeadByte = 0xa2

0xa1	0x21d2	;¢¡ Right Double Arrow
0xa2	0x21d4	;¢¢ Left Right Double Arrow
0xa3	0x2200	;¢£ For All
0xa4	0x2203	;¢¤ There Exists
0xa5	0x00b4	;¢¥ Spacing Acute
0xa6	0xff5e	;¢¦ Fullwidth Spacing Tilde
0xa7	0x02c7	;¢§ Modifier Hacek
0xa8	0x02d8	;¢¨ Spacing Breve
0xa9	0x02dd	;¢© Spacing Double Acute
0xaa	0x02da	;¢ª Spacing Ring Above
0xab	0x02d9	;¢« Spacing Dot Above
0xac	0x00b8	;¢¬ Spacing Cedilla
0xad	0x02db	;¢­ Spacing Ogonek
0xae	0x00a1	;¢® Inverted Exclamation Mark
0xaf	0x00bf	;¢¯ Inverted Question Mark
0xb0	0x02d0	;¢° Modifier Triangular Colon
0xb1	0x222e	;¢± Contour Integral
0xb2	0x2211	;¢² N-Ary Summation
0xb3	0x220f	;¢³ N-Ary Product
0xb4	0x00a4	;¢´ Currency Sign
0xb5	0x2109	;¢µ Degrees Fahrenheit
0xb6	0x2030	;¢¶ Per Mille Sign
0xb7	0x25c1	;¢· White Left Pointing Triangle
0xb8	0x25c0	;¢¸ Black Left Pointing Triangle
0xb9	0x25b7	;¢¹ White Right Pointing Triangle
0xba	0x25b6	;¢º Black Right Pointing Triangle
0xbb	0x2664	;¢» White Spade Suit
0xbc	0x2660	;¢¼ Black Spade Suit
0xbd	0x2661	;¢½ White Heart Suit
0xbe	0x2665	;¢¾ Black Heart Suit
0xbf	0x2667	;¢¿ White Club Suit
0xc0	0x2663	;¢À Black Club Suit
0xc1	0x2299	;¢Á Circled Dot Operator
0xc2	0x25c8	;¢Â White Diamond Containing Black Small Diamond
0xc3	0x25a3	;¢Ã White Square Containing Black Small Square
0xc4	0x25d0	;¢Ä Circle With Left Half Black
0xc5	0x25d1	;¢Å Circle With Right Half Black
0xc6	0x2592	;¢Æ Medium Shade
0xc7	0x25a4	;¢Ç Square With Horizontal Fill
0xc8	0x25a5	;¢È Square With Vertical Fill
0xc9	0x25a8	;¢É Square With Upper Right To Lower Left Fill
