LANGUAGE INTL

UPPERCASE 649

0x0061	0x0041	; A
0x0062	0x0042	; B
0x0063	0x0043	; C
0x0064	0x0044	; D
0x0065	0x0045	; E
0x0066	0x0046	; F
0x0067	0x0047	; G
0x0068	0x0048	; H
0x0069	0x0049	; I
0x006a	0x004a	; J
0x006b	0x004b	; K
0x006c	0x004c	; L
0x006d	0x004d	; M
0x006e	0x004e	; N
0x006f	0x004f	; O
0x0070	0x0050	; P
0x0071	0x0051	; Q
0x0072	0x0052	; R
0x0073	0x0053	; S
0x0074	0x0054	; T
0x0075	0x0055	; U
0x0076	0x0056	; V
0x0077	0x0057	; W
0x0078	0x0058	; X
0x0079	0x0059	; Y
0x007a	0x005a	; Z
0x00e0	0x00c0	; A Grave
0x00e1	0x00c1	; A Acute
0x00e2	0x00c2	; A Circumflex
0x00e3	0x00c3	; A Tilde
0x00e4	0x00c4	; A Diaeresis
0x00e5	0x00c5	; A Ring Above
0x00e6	0x00c6	; AE
0x00e7	0x00c7	; C Cedilla
0x00e8	0x00c8	; E Grave
0x00e9	0x00c9	; E Acute
0x00ea	0x00ca	; E Circumflex
0x00eb	0x00cb	; E Diaeresis
0x00ec	0x00cc	; I Grave
0x00ed	0x00cd	; I Acute
0x00ee	0x00ce	; I Circumflex
0x00ef	0x00cf	; I Diaeresis
0x00f0	0x00d0	; Eth
0x00f1	0x00d1	; N Tilde
0x00f2	0x00d2	; O Grave
0x00f3	0x00d3	; O Acute
0x00f4	0x00d4	; O Circumflex
0x00f5	0x00d5	; O Tilde
0x00f6	0x00d6	; O Diaeresis
0x00f8	0x00d8	; O Stroke
0x00f9	0x00d9	; U Grave
0x00fa	0x00da	; U Acute
0x00fb	0x00db	; U Circumflex
0x00fc	0x00dc	; U Diaeresis
0x00fd	0x00dd	; Y Acute
0x00fe	0x00de	; Thorn
0x00ff	0x0178	; Y Diaeresis
0x0101	0x0100	; A Macron
0x0103	0x0102	; A Breve
0x0105	0x0104	; A Ogonek
0x0107	0x0106	; C Acute
0x0109	0x0108	; C Circumflex
0x010b	0x010a	; C Dot Above
0x010d	0x010c	; C Caron
0x010f	0x010e	; D Caron
0x0111	0x0110	; D Stroke
0x0113	0x0112	; E Macron
0x0115	0x0114	; E Breve
0x0117	0x0116	; E Dot Above
0x0119	0x0118	; E Ogonek
0x011b	0x011a	; E Caron
0x011d	0x011c	; G Circumflex
0x011f	0x011e	; G Breve
0x0121	0x0120	; G Dot Above
0x0123	0x0122	; G Cedilla
0x0125	0x0124	; H Circumflex
0x0127	0x0126	; H Stroke
0x0129	0x0128	; I Tilde
0x012b	0x012a	; I Macron
