This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans               Serif              Sans Mono          
U+0000 Basic Latin                              100% (95/95)       100% (95/95)       100% (95/95)      
U+0080 Latin-1 Supplement                       100% (96/96)       100% (96/96)       100% (96/96)      
U+0100 Latin Extended-A                         100% (128/128)     100% (128/128)     100% (128/128)    
U+0180 Latin Extended-B                         100% (208/208)      89% (187/208)      57% (119/208)    
U+0250 IPA Extensions                           100% (96/96)       100% (96/96)       100% (96/96)      
U+02b0 Spacing Modifier Letters                  78% (63/80)        55% (44/80)        52% (42/80)      
U+0300 Combining Diacritical Marks               79% (89/112)       58% (66/112)       58% (66/112)     
U+0370 Greek and Coptic                         100% (127/127)      86% (110/127)      86% (110/127)    
U+0400 Cyrillic                                  97% (249/255)      73% (188/255)      66% (170/255)    
U+0500 Cyrillic Supplement                       90% (18/20)            (0/20)             (0/20)       
U+0530 Armenian                                 100% (86/86)            (0/86)             (0/86)       
U+0590 Hebrew                                    57% (50/87)            (0/87)             (0/87)       
U+0600 Arabic                                    47% (111/235)          (0/235)            (0/235)      
U+0700 Syriac                                        (0/77)             (0/77)             (0/77)       
U+0750 Arabic Supplement                             (0/30)             (0/30)             (0/30)       
U+0780 Thaana                                        (0/50)             (0/50)             (0/50)       
U+07c0 NKo                                           (0/59)             (0/59)             (0/59)       
U+0900 Devanagari                                    (0/111)            (0/111)            (0/111)      
U+0980 Bengali                                       (0/91)             (0/91)             (0/91)       
U+0a00 Gurmukhi                                      (0/77)             (0/77)             (0/77)       
U+0a80 Gujarati                                      (0/83)             (0/83)             (0/83)       
U+0b00 Oriya                                         (0/81)             (0/81)             (0/81)       
U+0b80 Tamil                                         (0/71)             (0/71)             (0/71)       
U+0c00 Telugu                                        (0/80)             (0/80)             (0/80)       
U+0c80 Kannada                                       (0/86)             (0/86)             (0/86)       
U+0d00 Malayalam                                     (0/78)             (0/78)             (0/78)       
U+0d80 Sinhala                                       (0/80)             (0/80)             (0/80)       
U+0e00 Thai                                       1% (1/87)             (0/87)             (0/87)       
U+0e80 Lao                                       84% (55/65)            (0/65)             (0/65)       
U+0f00 Tibetan                                       (0/195)            (0/195)            (0/195)      
U+1000 Myanmar                                       (0/78)             (0/78)             (0/78)       
U+10a0 Georgian                                      (0/83)             (0/83)             (0/83)       
U+1100 Hangul Jamo                                   (0/240)            (0/240)            (0/240)      
U+1200 Ethiopic                                      (0/356)            (0/356)            (0/356)      
U+1380 Ethiopic Supplement                           (0/26)             (0/26)             (0/26)       
U+13a0 Cherokee                                      (0/85)             (0/85)             (0/85)       
U+1400 Unified Canadian Aboriginal Syllabics         (0/630)            (0/630)            (0/630)      
U+1680 Ogham                                         (0/29)             (0/29)             (0/29)       
U+16a0 Runic                                         (0/81)             (0/81)             (0/81)       
U+1700 Tagalog                                       (0/20)             (0/20)             (0/20)       
U+1720 Hanunoo                                       (0/23)             (0/23)             (0/23)       
U+1740 Buhid                                         (0/20)             (0/20)             (0/20)       
U+1760 Tagbanwa                                      (0/18)             (0/18)             (0/18)       
U+1780 Khmer                                         (0/114)            (0/114)            (0/114)      
U+1800 Mongolian                                     (0/155)            (0/155)            (0/155)      
U+1900 Limbu                                         (0/66)             (0/66)             (0/66)       
U+1950 Tai Le                                        (0/35)             (0/35)             (0/35)       
U+1980 New Tai Lue                                   (0/80)             (0/80)             (0/80)       
U+19e0 Khmer Symbols                                 (0/32)             (0/32)             (0/32)       
U+1a00 Buginese                                      (0/30)             (0/30)             (0/30)       
U+1b00 Balinese                                      (0/121)            (0/121)            (0/121)      
U+1d00 Phonetic Extensions                       82% (105/128)      28% (36/128)       28% (36/128)     
U+1d80 Phonetic Extensions Supplement            59% (38/64)        57% (37/64)        57% (37/64)      
U+1dc0 Combining Diacritical Marks Supplement        (0/13)             (0/13)             (0/13)       
U+1e00 Latin Extended Additional                100% (246/246)      77% (190/246)      27% (67/246)     
U+1f00 Greek Extended                           100% (233/233)     100% (233/233)     100% (233/233)    
U+2000 General Punctuation                       82% (87/106)       44% (47/106)       37% (40/106)     
U+2070 Superscripts and Subscripts              100% (34/34)        52% (18/34)        52% (18/34)      
U+20a0 Currency Symbols                         100% (22/22)        22% (5/22)         18% (4/22)       
U+20d0 Combining Diacritical Marks for Symbols   12% (4/32)             (0/32)             (0/32)       
U+2100 Letterlike Symbols                        56% (45/79)         7% (6/79)          7% (6/79)       
U+2150 Number Forms                             100% (50/50)        26% (13/50)        26% (13/50)      
U+2190 Arrows                                   100% (112/112)       3% (4/112)       100% (112/112)    
U+2200 Mathematical Operators                    91% (234/256)      10% (27/256)       54% (140/256)    
U+2300 Miscellaneous Technical                   16% (38/232)        7% (18/232)       15% (37/232)     
U+2400 Control Pictures                           5% (2/39)          2% (1/39)          2% (1/39)       
U+2440 Optical Character Recognition                 (0/11)             (0/11)             (0/11)       
U+2460 Enclosed Alphanumerics                     6% (10/160)           (0/160)            (0/160)      
U+2500 Box Drawing                                   (0/128)            (0/128)       100% (128/128)    
U+2580 Block Elements                           100% (32/32)       100% (32/32)       100% (32/32)      
U+25a0 Geometric Shapes                         100% (96/96)       100% (96/96)       100% (96/96)      
U+2600 Miscellaneous Symbols                     99% (175/176)      17% (30/176)       84% (149/176)    
U+2700 Dingbats                                 100% (174/174)          (0/174)        82% (144/174)    
U+27c0 Miscellaneous Mathematical Symbols-A      12% (5/39)          2% (1/39)          2% (1/39)       
