Name: Ntoskrnl.exe

Description: Windows NT Executive


Ordinal	Exported
Value:	Name:
1		ExAcquireFastMutexUnsafe
2		ExInterlockedAddLargeStatistic
3		ExInterlockedCompareExchange64
4		ExInterlockedPopEntrySList
5		ExInterlockedPushEntrySList
6		ExReleaseFastMutexUnsafe
7		ExReleaseResourceLite
8		ExfInterlockedAddUlong
9		ExfInterlockedInsertHeadList
10		ExfInterlockedInsertTailList
11		ExfInterlockedPopEntryList
12		ExfInterlockedPushEntryList
13		ExfInterlockedRemoveHeadList
14		Exfi386InterlockedDecrementLong
15		Exfi386InterlockedExchangeUlong
16		Exfi386InterlockedIncrementLong
17		InterlockedCompareExchange
18		InterlockedDecrement
19		InterlockedExchange
20		InterlockedExchangeAdd
21		InterlockedIncrement
22		IofCallDriver
23		IofCompleteRequest
24		KeSetSwapContextNotifyRoutine
25		KeSetThreadSelectNotifyRoutine
26		KeSetTimeUpdateNotifyRoutine
27		KefAcquireSpinLockAtDpcLevel
28		KefReleaseSpinLockFromDpcLevel
29		KiAcquireSpinLock
30		KiReleaseSpinLock
31		ObfDereferenceObject
32		ObfReferenceObject
33		Kei386EoiHelper
34		Kii386SpinOnSpinLock
35		CcCanIWrite
36		CcCopyRead
37		CcCopyWrite
38		CcDeferWrite
39		CcFastCopyRead
40		CcFastCopyWrite
41		CcFastMdlReadWait
42		CcFastReadNotPossible
43		CcFastReadWait
44		CcFlushCache
45		CcGetDirtyPages
46		CcGetFileObjectFromBcb
47		CcGetFileObjectFromSectionPtrs
48		CcGetLsnForFileObject
49		CcInitializeCacheMap
50		CcIsThereDirtyData
51		CcMapData
52		CcMdlRead
53		CcMdlReadComplete
54		CcMdlWriteComplete
55		CcPinMappedData
56		CcPinRead
57		CcPrepareMdlWrite
58		CcPreparePinWrite
59		CcPurgeCacheSection
60		CcRepinBcb
61		CcScheduleReadAhead
62		CcSetAdditionalCacheAttributes
63		CcSetBcbOwnerPointer
64		CcSetDirtyPageThreshold
65		CcSetDirtyPinnedData
66		CcSetFileSizes
67		CcSetLogHandleForFile
68		CcSetReadAheadGranularity
69		CcUninitializeCacheMap
70		CcUnpinData
71		CcUnpinDataForThread
72		CcUnpinRepinnedBcb
73		CcZeroData
74		DbgBreakPoint
75		DbgBreakPointWithStatus
76		DbgLoadImageSymbols
77		DbgPrint
78		DbgPrompt
79		ExAcquireResourceExclusive
80		ExAcquireResourceExclusiveLite
81		ExAcquireResourceSharedLite
82		ExAcquireSharedStarveExclusive
83		ExAcquireSharedWaitForExclusive
84		ExAllocateFromPagedLookasideList
85		ExAllocatePool
86		ExAllocatePoolWithQuota
87		ExAllocatePoolWithQuotaTag
88		ExAllocatePoolWithTag
89		ExConvertExclusiveToSharedLite
90		ExCreateCallback
91		ExDeleteNPagedLookasideList
92		ExDeletePagedLookasideList
93		ExDeleteResource
94		ExDeleteResourceLite
95		ExDesktopObjectType
96		ExDisableResourceBoostLite
97		ExEnumHandleTable
98		ExEventObjectType
99		ExExtendZone
100		ExFreePool
101		ExFreeToPagedLookasideList
102		ExGetExclusiveWaiterCount
103		ExGetPreviousMode
104		ExGetSharedWaiterCount
105		ExInitializeNPagedLookasideList
106		ExInitializePagedLookasideList
107		ExInitializeResource
108		ExInitializeResourceLite
109		ExInitializeZone
110		ExInterlockedAddLargeInteger
111		ExInterlockedAddUlong
112		ExInterlockedDecrementLong
113		ExInterlockedExchangeUlong
114		ExInterlockedExtendZone
115		ExInterlockedIncrementLong
116		ExInterlockedInsertHeadList
117		ExInterlockedInsertTailList
118		ExInterlockedPopEntryList
119		ExInterlockedPushEntryList
120		ExInterlockedRemoveHeadList
121		ExIsProcessorFeaturePresent
122		ExIsResourceAcquiredExclusiveLite
123		ExIsResourceAcquiredSharedLite
124		ExLocalTimeToSystemTime
125		ExNotifyCallback
126		ExPostSystemEvent
127		ExQueryPoolBlockSize
128		ExQueueWorkItem
129		ExRaiseAccessViolation
130		ExRaiseDatatypeMisalignment
131		ExRaiseException
132		ExRaiseHardError
133		ExRaiseStatus
134		ExRegisterCallback
135		ExReinitializeResourceLite
136		ExReleaseResourceForThread
137		ExReleaseResourceForThreadLite
